"","count","n","col4","col3","col2","col1","output"
"321",89,5,"donâ","t","get","me","wrong"
"322",88,5,"as","much@i","love",NA,NA
"323",88,5,"be","a","part","of","it"
"324",88,5,"i","have","been","trying","to"
"325",88,5,"i","have","to","say","i"
"326",88,5,"is","the","best","way","to"
"327",88,5,"the","rest","of","the","season"
"328",87,5,"a","man","and","a","woman"
"329",87,5,"he","was","one","of","the"
"330",87,5,"hope","everyone","had","a","great"
"331",87,5,"i","canâ","t","wait","to"
"332",87,5,"i","donâ","t","know","why"
"333",87,5,"i","want","to","be","a"
"334",87,5,"i","will","be","able","to"
"335",87,5,"million","or","cents","per","share"
"336",87,5,"what","do","you","think","about"
"337",86,5,"a","lot","of","work","to"
"338",86,5,"come","to","think","of","it"
"339",86,5,"had","a","lot","of","fun"
"340",86,5,"here","are","some","of","the"
"341",86,5,"i","can't","wait","to","get"
"342",86,5,"i","had","a","lot","of"
"343",86,5,"in","an","interview","with","the"
"344",86,5,"in","the","case","of","the"
"345",86,5,"that","i","was","going","to"
"346",86,5,"the","new","york","stock","exchange"
"347",86,5,"up","to","years","in","prison"
"348",86,5,"will","never","be","the","same"
"349",85,5,"for","the","first","time","this"
"350",85,5,"i","donâ","t","think","i"
"351",85,5,"i","have","to","admit","that"
"352",85,5,"in","and","out","of","the"
"353",85,5,"it","seems","to","me","that"
"354",85,5,"protein","g","carbohydrate","g","fat"
"355",84,5,"as","much@i","do",NA,NA
"356",84,5,"calories","g","protein","g","carbohydrate"
"357",84,5,"g","protein","g","carbohydrate","g"
"358",84,5,"i","was","going","to","be"
"359",84,5,"in","the","back","of","my"
"360",84,5,"it","is","one","of","the"
"361",84,5,"said","in","a","news","release"
"362",84,5,"to","do","the","right","thing"
"363",84,5,"to","the","bottom","of","the"
"364",84,5,"us","know","what","you","think"
"365",83,5,"are","you","going","to","be"
"366",83,5,"i","think","i","need","to"
"367",83,5,"if","you","don't","have","a"
"368",83,5,"if","you","want","to","see"
"369",83,5,"it","would","mean","the","world"
"370",83,5,"you","should","be","able","to"
"371",82,5,"carbohydrate","g","fat","g","saturated"
"372",82,5,"home","in","the","block","of"
"373",82,5,"hope","everyone","is","having","a"
"374",82,5,"in","the","next","few","days"
"375",82,5,"may","or","may","not","have"
"376",82,5,"the","rock","and","roll","hall"
"377",82,5,"there","were","a","lot","of"
"378",82,5,"today","is","going","to","be"
"379",82,5,"you","don't","have","to","be"
"380",81,5,"g","carbohydrate","g","fat","g"
"381",81,5,"hope","you","all","have","a"
"382",81,5,"i","do","not","want","to"
"383",81,5,"i","felt","like","i","was"
"384",81,5,"it","would","be","nice","to"
"385",81,5,"only","a","matter","of","time"
"386",81,5,"the","first","day","of","the"
"387",81,5,"the","first","three","months","of"
"388",81,5,"the","first","time","in","years"
"389",81,5,"â","he","said","â","œi"
"390",80,5,"a","big","thank","you","to"
"391",80,5,"as","far@i","know",NA,NA
"392",80,5,"have","nothing","to","do","with"
"393",80,5,"i","feel","like","i","have"
"394",80,5,"i","had","a","great","time"
"395",80,5,"i","need","to","go","to"
"396",80,5,"i","won't","be","able","to"
"397",80,5,"in","the","midst","of","a"
"398",80,5,"saturated","mg","cholesterol","mg","sodium"
"399",80,5,"thank","you","for","following","me"
"400",80,5,"there","are","a","number","of"
"401",79,5,"as","far@i","can",NA,NA
"402",79,5,"at","the","same","time","as"
"403",79,5,"due","to","the","fact","that"
"404",79,5,"fat","g","saturated","mg","cholesterol"
"405",79,5,"g","fat","g","saturated","mg"
"406",79,5,"g","saturated","mg","cholesterol","mg"
"407",79,5,"i","would","like","to","see"
"408",79,5,"in","the","midst","of","the"
"409",79,5,"mean","the","world","to","me"
"410",79,5,"s","going","to","be","a"
"411",79,5,"the","end","of","the","first"
"412",79,5,"to","make","the","most","of"
"413",78,5,"a","few","weeks","ago","i"
"414",78,5,"and","i","have","to","say"
"415",78,5,"for","a","very","long","time"
"416",78,5,"i","think","a","lot","of"
"417",78,5,"looking","forward","to","your","tweets"
"418",78,5,"may","not","be","able","to"
"419",78,5,"on","condition","of","anonymity","because"
"420",78,5,"thanks","for","the","kind","words"
"421",78,5,"the","securities","and","exchange","commission"
"422",78,5,"was","a","bit","of","a"
"423",77,5,"for@long@i",NA,NA,NA,NA
"424",77,5,"i","can","tell","you","that"
"425",77,5,"if","you","donâ","t","have"
"426",77,5,"was","a","member","of","the"
"427",77,5,"what","it","means","to","be"
"428",77,5,"would","you","like","to","see"
"429",76,5,"a","matter","of","time","before"
