"","count","n","col1","output"
"613",3588,2,"could","have"
"614",3586,2,"to","pay"
"615",3582,2,"day","of"
"616",3581,2,"for","it"
"617",3568,2,"i'll","be"
"618",3567,2,"it","a"
"619",3566,2,"and","now"
"620",3564,2,"bit","of"
"621",3561,2,"to","look"
"622",3555,2,"can","you"
"623",3552,2,"rather","than"
"624",3548,2,"like","this"
"625",3546,2,"to","tell"
"626",3541,2,"a","while"
"627",3523,2,"talk","about"
"628",3522,2,"as","you"
"629",3521,2,"due","to"
"630",3516,2,"but","we"
"631",3512,2,"for","her"
"632",3504,2,"the","united"
"633",3503,2,"and","if"
"634",3502,2,"is","what"
"635",3493,2,"and","she"
"636",3492,2,"at","home"
"637",3491,2,"on","to"
"638",3487,2,"and","so"
"639",3487,2,"think","of"
"640",3482,2,"if","you're"
"641",3481,2,"the","follow"
"642",3480,2,"was","so"
"643",3474,2,"because","the"
"644",3473,2,"the","middle"
"645",3469,2,"with","this"
"646",3460,2,"and","for"
"647",3442,2,"from","my"
"648",3442,2,"listening","to"
"649",3442,2,"should","have"
"650",3438,2,"i","went"
"651",3437,2,"he","would"
"652",3433,2,"on","twitter"
"653",3432,2,"to","it"
"654",3431,2,"for","their"
"655",3428,2,"front","of"
"656",3424,2,"on","it"
"657",3420,2,"good","morning"
"658",3412,2,"but","you"
"659",3405,2,"since","the"
"660",3401,2,"to","talk"
"661",3399,2,"time","and"
"662",3398,2,"you","like"
"663",3396,2,"how","many"
"664",3395,2,"i","used"
"665",3394,2,"not","sure"
"666",3389,2,"you","could"
"667",3388,2,"new","jersey"
"668",3386,2,"being","a"
"669",3383,2,"is","now"
"670",3377,2,"with","your"
"671",3372,2,"just","got"
"672",3370,2,"a","way"
"673",3353,2,"and","their"
"674",3353,2,"wish","i"
"675",3350,2,"so","we"
"676",3347,2,"and","her"
"677",3347,2,"is","also"
"678",3346,2,"us","to"
"679",3339,2,"in","one"
"680",3336,2,"that","this"
"681",3335,2,"to","their"
"682",3334,2,"out","for"
"683",3333,2,"can","get"
"684",3330,2,"to","an"
"685",3329,2,"it","on"
"686",3329,2,"they","will"
"687",3328,2,"because","it"
"688",3325,2,"to","buy"
"689",3318,2,"i","mean"
"690",3309,2,"thereâ","s"
"691",3308,2,"to","think"
"692",3302,2,"have","an"
"693",3300,2,"people","are"
"694",3298,2,"the","future"
"695",3297,2,"may","have"
"696",3296,2,"my","first"
"697",3290,2,"for","us"
"698",3288,2,"and","how"
"699",3287,2,"and","i'm"
"700",3286,2,"side","of"
"701",3283,2,"the","more"
"702",3281,2,"seems","to"
"703",3270,2,"who","have"
"704",3268,2,"tell","you"
"705",3266,2,"tell","me"
"706",3263,2,"on","that"
"707",3262,2,"my","mom"
"708",3261,2,"i","never"
"709",3256,2,"the","night"
"710",3255,2,"the","final"
"711",3254,2,"between","the"
"712",3254,2,"you","a"
"713",3252,2,"the","word"
"714",3249,2,"a","huge"
"715",3249,2,"supposed","to"
"716",3249,2,"what","it"
"717",3248,2,"not","have"
"718",3248,2,"to","read"
"719",3242,2,"for","years"
"720",3242,2,"you","all"
"721",3235,2,"are","so"
"722",3234,2,"a","chance"
"723",3233,2,"do","the"
"724",3229,2,"the","back"
"725",3220,2,"we","all"
"726",3218,2,"the","national"
"727",3215,2,"a","time"
"728",3213,2,"like","i"
"729",3213,2,"made","a"
"730",3212,2,"off","to"
"731",3211,2,"because","they"
"732",3209,2,"out","in"
"733",3208,2,"next","week"
"734",3207,2,"sort","of"
"735",3204,2,"was","going"
"736",3196,2,"it","for"
"737",3193,2,"i","found"
"738",3187,2,"united","states"
"739",3187,2,"with","it"
"740",3184,2,"top","of"
"741",3181,2,"a","nice"
"742",3180,2,"to","stop"
"743",3179,2,"they","had"
"744",3177,2,"continue","to"
"745",3175,2,"and","what"
"746",3174,2,"are","going"
"747",3174,2,"i","also"
"748",3171,2,"much","of"
"749",3163,2,"be","on"
"750",3162,2,"in","front"
"751",3153,2,"do","i"
"752",3147,2,"where","i"
"753",3142,2,"i","said"
"754",3141,2,"you","in"
"755",3137,2,"full","of"
"756",3133,2,"me","that"
"757",3129,2,"in","order"
"758",3122,2,"time","in"
"759",3120,2,"you","can't"
"760",3117,2,"but","that"
"761",3113,2,"and","will"
"762",3112,2,"on","our"
"763",3104,2,"all","that"
"764",3103,2,"his","own"
"765",3100,2,"i","knew"
"766",3098,2,"there's","a"
"767",3086,2,"she","has"
"768",3083,2,"to","share"
"769",3081,2,"a","better"
"770",3080,2,"don't","want"
"771",3074,2,"think","about"
"772",3071,2,"to","stay"
"773",3067,2,"not","just"
"774",3066,2,"i'm","a"
"775",3066,2,"makes","me"
"776",3062,2,"that","there"
"777",3060,2,"all","my"
"778",3057,2,"think","that"
"779",3044,2,"to","follow"
"780",3039,2,"but","it's"
"781",3034,2,"said","it"
"782",3029,2,"am","i"
"783",3028,2,"and","this"
"784",3023,2,"no","longer"
"785",3023,2,"we","do"
"786",3020,2,"said","in"
"787",3017,2,"the","old"
"788",3015,2,"and","there"
"789",3015,2,"live","in"
"790",3015,2,"seem","to"
"791",3008,2,"what","are"
"792",3005,2,"was","an"
"793",2997,2,"every","day"
"794",2984,2,"the","idea"
"795",2984,2,"the","road"
"796",2984,2,"told","me"
"797",2976,2,"one","day"
"798",2976,2,"would","like"
"799",2974,2,"do","that"
"800",2973,2,"wasnâ","t"
"801",2970,2,"to","live"
"802",2969,2,"the","public"
"803",2968,2,"waiting","for"
"804",2966,2,"and","some"
"805",2961,2,"you","see"
"806",2956,2,"talk","to"
