"","count","n","col3","col2","col1","output"
"644",190,4,"a","big","part","of"
"645",190,4,"as","long@they",NA,NA
"646",190,4,"but","in","the","end"
"647",190,4,"have","a","hard","time"
"648",190,4,"have","the","opportunity","to"
"649",190,4,"martin","luther","king","jr"
"650",190,4,"that","i","donâ","t"
"651",190,4,"the","back","of","my"
"652",189,4,"thanks","for","stopping","by"
"653",189,4,"the","most","important","thing"
"654",189,4,"to","give","it","a"
"655",189,4,"you","might","want","to"
"656",188,4,"to","find","a","way"
"657",188,4,"we","would","love","to"
"658",187,4,"a","little","bit","more"
"659",187,4,"have","a","great","time"
"660",187,4,"if","i","had","a"
"661",187,4,"to","talk","to","you"
"662",187,4,"when","you","have","a"
"663",186,4,"i","felt","like","i"
"664",186,4,"those","of","us","who"
"665",185,4,"a","trip","to","the"
"666",185,4,"have","a","good","day"
"667",185,4,"i","would","have","to"
"668",185,4,"in","the","long","run"
"669",185,4,"it","is","time","to"
"670",185,4,"no","such","thing","as"
"671",185,4,"of","the","things","that"
"672",185,4,"the","number","of","people"
"673",185,4,"to","the","point","of"
"674",185,4,"two","and","a","half"
"675",185,4,"wish","i","had","a"
"676",184,4,"did","not","want","to"
"677",184,4,"donâ","t","have","a"
"678",184,4,"in","order","to","get"
"679",184,4,"in","the","parking","lot"
"680",184,4,"it","used","to","be"
"681",184,4,"to","go","to","bed"
"682",184,4,"you","want","me","to"
"683",183,4,"and","i","had","to"
"684",183,4,"for","all","of","us"
"685",183,4,"happy","birthday","to","my"
"686",183,4,"just","in","time","for"
"687",183,4,"more","than","percent","of"
"688",183,4,"thank","you","to","everyone"
"689",183,4,"the","best","part","of"
"690",183,4,"the","good","news","is"
"691",183,4,"to","go","out","and"
"692",183,4,"to","say","that","i"
"693",183,4,"to","see","you","there"
"694",183,4,"wait","to","see","the"
"695",182,4,"a","long","time","ago"
"696",182,4,"i","had","to","do"
"697",182,4,"that","would","be","a"
"698",181,4,"a","little","more","than"
"699",181,4,"from","all","over","the"
"700",181,4,"had","so","much","fun"
"701",181,4,"have","to","deal","with"
"702",181,4,"hope","everyone","had","a"
"703",181,4,"i","just","have","to"
"704",181,4,"i","just","need","to"
"705",181,4,"i","the","only","one"
"706",181,4,"one","of","my","favorites"
"707",181,4,"the","day","of","the"
"708",181,4,"the","president","of","the"
"709",181,4,"thought","it","was","a"
"710",180,4,"a","few","days","ago"
"711",180,4,"for","a","few","minutes"
"712",180,4,"more","than","a","decade"
"713",180,4,"mother's","day","to","all"
"714",180,4,"see","you","at","the"
"715",180,4,"to","be","in","a"
"716",179,4,"in","an","interview","with"
"717",179,4,"so","i","had","to"
"718",179,4,"supposed","to","be","a"
"719",179,4,"this","is","a","good"
"720",178,4,"if","you","want","a"
"721",178,4,"it","was","great","to"
"722",178,4,"think","i'm","going","to"
"723",178,4,"to","get","into","the"
"724",178,4,"to","let","you","know"
"725",178,4,"we","would","like","to"
